ID;TERMS (PT-NPT);RELATIONS;PT;MT
5455;BCE;USE;Banca Centrală Europeană;1006 Instituțiile Uniunii Europene și funcția publică europeană
6338;BDC;USE;Caribank;7616 organizaţii extraeuropene
4838;BEI;USE;Banca Europeană de Investiții;1006 Instituțiile Uniunii Europene și funcția publică europeană
5460;BERD;;;7611 organizaţii europene
451912;BES;USE;Bonaire, Sint Eustatius și Saba;7216 America
451912;BES;USE;Bonaire, Sint Eustatius și Saba;7241 ţări şi teritorii străine
4859;BEUC;;;7611 organizaţii europene
4872;BID;USE;Banca Interamericană de Dezvoltare;7616 organizaţii extraeuropene
4875;BIE;USE;Biroul Internațional al Educației;7606 ONU
8377;BIRD;USE;Banca Internațională pentru Reconstrucție și Dezvoltare;7606 ONU
3708;BIT;USE;Biroul Internațional al Muncii;7606 ONU
4588;BLEU;USE;Uniunea Economică Belgiano-Luxemburgheză;7611 organizaţii europene
c_964c9649;BRICS;USE;țările BRICS;7231 geografie economică
8506;Bacău;;;7211 regiuni ale statelor membre ale Uniunii Europene
4560;Baden-Württemberg;;;7211 regiuni ale statelor membre ale Uniunii Europene
4560;Baden-Württemberg (landul);USE;Baden-Württemberg;7211 regiuni ale statelor membre ale Uniunii Europene
4567;Bahamas;;;7216 America
4567;Bahamas;;;7231 geografie economică
4567;Bahamas;;;7236 geografie politică
4572;Bahrain;;;7226 Asia şi Oceania
4572;Bahrain;;;7231 geografie economică
4572;Bahrain;;;7236 geografie politică
4690;Balcani;USE;Balcanii de Vest;7231 geografie economică
4690;Balcanii Occidentali;USE;Balcanii de Vest;7231 geografie economică
4690;Balcanii de Vest;;;7231 geografie economică
4679;Bali;;;7226 Asia şi Oceania
4744;Banca Africană de Dezvoltare;;;7616 organizaţii extraeuropene
6337;Banca Americii Centrale pentru Integrare Economică;;;7616 organizaţii extraeuropene
6336;Banca Asiatică de Dezvoltare;;;7616 organizaţii extraeuropene
5455;Banca Centrală Europeană;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
